,open,high,low,close,SMA_5,SMA_10,EMA_5,EMA_10,RSI,MACD,MACD_signal,BB_Middle,BB_Upper,BB_Lower,OBV,H-L,H-PC,L-PC,TR,ATR,ROC,Momentum,Std_Dev,future
3394,1328.6,1335.95,1328.3,1335.3,1322.1069444444445,1305.8020833333333,1319.914584180269,1299.5158264270076,65.05747126436788,20.398757753261407,21.505720988554867,1322.1069444444445,1337.0743977592476,1307.1394911296413,-168052725.0,7.650000000000091,6.25,1.400000000000091,7.650000000000091,7.73194444444448,0.02169172500860772,28.34999999999991,7.483726657401585,0.0
3395,1335.0,1335.6,1327.05,1329.3,1322.5305555555556,1307.5069444444443,1320.4219039543086,1300.331831182432,60.59957173447562,20.09007277187652,21.2225913452192,1322.5305555555556,1337.4228599494163,1307.6382511616948,-175453971.0,8.549999999999955,0.2999999999999545,8.25,8.549999999999955,7.63888888888892,0.011605342262470897,15.25,7.446152196930362,0.0
3396,1329.35,1336.0,1329.3,1333.1,1323.0611111111111,1309.2555555555557,1321.1072064432649,1301.2295892322284,70.80867850098636,19.877617211036522,20.953596518382664,1323.0611111111111,1338.063551124319,1308.0586710979032,-167965387.0,6.7000000000000455,6.7000000000000455,0.0,6.7000000000000455,7.66944444444448,0.01453576864535755,19.09999999999991,7.501220006603998,0.0
3397,1333.85,1335.8,1328.0,1333.0,1323.615277777778,1310.963888888889,1321.7500601490342,1302.100011445044,74.63617463617473,19.65004870399025,20.692886955504186,1323.615277777778,1338.5700442314296,1308.6605113241262,-175563383.0,7.7999999999999545,2.7000000000000455,5.099999999999909,7.7999999999999545,7.750000000000032,0.015193633144206187,19.950000000000045,7.477383226825806,0.0
3398,1333.7,1349.0,1333.0,1345.75,1324.6875,1312.8215277777779,1323.0473541950325,1303.29590154244,80.06535947712442,19.751452652592434,20.504600094921837,1324.6875,1340.3056099094492,1309.0693900905508,-167628152.0,16.0,16.0,0.0,16.0,7.959722222222252,0.02952989327927158,38.59999999999991,7.809054954724564,0.0
3399,1346.3,1356.15,1343.1,1345.0,1325.6027777777776,1314.3458333333335,1324.2339836980038,1304.4384795823732,76.37931034482772,19.795504115630592,20.362780899063587,1325.6027777777776,1342.0155941017167,1309.1899614538386,-175950124.0,13.050000000000182,10.400000000000091,2.650000000000091,13.050000000000182,8.170833333333368,0.025113372203803275,32.950000000000045,8.206408161969529,0.0
3400,1345.65,1353.05,1330.35,1332.5,1326.1416666666667,1315.575,1324.6807953900036,1305.2072883609383,46.10027855153208,19.47350702906533,20.184926125063935,1326.1416666666667,1342.1340845130173,1310.149248820316,-184532989.0,22.700000000000045,8.049999999999955,14.650000000000091,22.700000000000045,8.63333333333337,0.014774198461655619,19.40000000000009,7.996208923175336,0.0
3401,1332.95,1334.8,1326.5,1330.0,1326.447222222222,1316.3666666666668,1324.968319963517,1305.8865407346111,51.080246913580325,19.081779228905816,19.964296745832314,1326.447222222222,1342.297953515779,1310.5964909286652,-193213195.0,8.299999999999955,2.2999999999999545,6.0,8.299999999999955,8.558333333333369,0.00833965125094771,11.0,7.925365646778454,0.0
3402,1344.8,1375.0,1332.3,1336.85,1326.9097222222222,1317.3027777777777,1325.610572938462,1306.7348546870876,55.28913963328634,18.875718251374337,19.74658104694072,1326.9097222222222,1342.9805977330157,1310.8388467114287,-192730548.0,42.700000000000045,45.0,2.2999999999999545,45.0,9.627777777777814,0.012611725496136872,16.649999999999864,8.035437755396773,0.0
3403,1335.9,1365.05,1332.0,1360.0,1328.05,1318.492361111111,1327.4694608877344,1308.1941737367565,73.07692307692308,19.275287150977874,19.65232226774815,1328.05,1347.3067316615943,1308.7932683384056,-191984456.0,33.049999999999955,28.200000000000045,4.849999999999909,33.049999999999955,10.380555555555588,0.03112324197278138,41.049999999999955,9.628365830797227,0.0
